Time (ns),Distance (Å)
2.3625,8.807469943150524
2.365,8.901840696127335
2.3675,8.965430083423877
2.37,8.982545905930433
2.3725,9.109041873599175
2.375,8.806602299858449
2.3775,8.914802266364347
2.38,8.977675136944162
2.3825,8.770466974312642
2.385,8.982084225099948
2.3875,8.624806152251459
2.39,8.931304273337428
2.3925,8.688137083359887
2.395,9.029622016796603
2.3975,9.062737750146015
2.4,9.037182447841026
2.4025,8.97718212706583
2.405,8.94730248135121
2.4075,8.705737134156857
2.41,8.53654228132369
2.4125,8.770911127935829
2.415,8.904671371647684
2.4175,8.954609729725435
2.42,8.76963229055004
2.4225,8.904491466331388
2.425,8.80521117436332
2.4275,8.912402045122088
2.43,9.042602852071408
2.4325,9.059720616032461
2.435,8.560659630560739
2.4375,8.473832816814708
2.44,8.463582264730023
2.4425,8.878549376048653
2.445,8.63097637555609
2.4475,8.843949702660606
2.45,8.85649719586761
2.4525,9.038632523618906
2.455,8.678733500851935
2.4575,9.056186248457058
2.46,9.011734340176769
2.4625,8.687861305005086
2.465,9.18840925673422
2.4675,8.987205011445612
2.47,8.940794650931704
2.4725,8.98791612631254
2.475,9.182201542293896
2.4775,8.797718266414071
2.48,8.974190785075201
2.4825,8.77570004813209
2.485,9.13690336977471
2.4875,9.0332376175406
2.49,8.894596365549953
2.4925,8.670025629906984
2.495,9.058090967752545
2.4975,9.085431828982873
2.5,9.145607313786854
2.5025,9.01386878205847
2.505,8.942601422779473
2.5075,9.216693739956845
2.51,9.00669898592551
2.5125,8.973232993584977
2.515,8.77223591558227
2.5175,8.741643432051152
2.52,8.640080170585405
2.5225,9.028238221295382
2.525,8.88065651159679
2.5275,8.89550212800007
2.53,8.9541842042943
2.5325,8.643432992473267
2.535,8.816964939126041
2.5375,8.766502748063695
2.54,8.69055875826356
2.5425,8.94108094357243
2.545,8.853437690645409
2.5475,8.792556424744545
2.55,8.997927593182965
2.5525,8.755720261184607
2.555,8.720809387150677
2.5575,8.889490933516521
2.56,9.009030596019018
2.5625,8.857847251292501
2.565,8.697520859142578
2.5675,8.70981767463002
2.57,8.849009980832
2.5725,8.795100093062576
2.575,9.027850927262769
2.5775,9.018010648463557
2.58,8.720068497547432
2.5825,8.781374784078647
2.585,8.796653767171401
2.5875,9.154947895589475
2.59,9.165218950742306
2.5925,9.166623811869577
2.595,9.139985534582987
2.5975,9.109544013704344
2.6,9.041602878082191
2.6025,9.043860890204298
2.605,9.009973416089377
2.6075,8.987238881219929
2.61,8.935201678868575
2.6125,8.86524791703552
2.615,8.739991707386789
2.6175,8.944355080231329
2.62,8.881536707024662
2.6225,8.875541381034395
2.625,9.001482076538224
2.6275,8.867113794663492
2.63,8.89589830336261
2.6325,9.060494945918487
2.635,8.849646037170901
2.6375,9.02076171116142
2.64,9.040514553013557
2.6425,8.84624453741577
2.645,8.80780213373371
2.6475,8.939767149843247
2.65,8.695552381464532
2.6525,8.798643479042495
2.655,9.037440016551967
2.6575,9.062050973717671
2.66,8.933360561446287
2.6625,8.996682504497736
2.665,8.93089916302485
2.6675,9.025141988739497
2.67,8.886543958473682
2.6725,8.824261817372175
2.675,9.051111842757583
2.6775,8.792730783845101
2.68,8.880708571847755
2.6825,9.00027682727845
2.685,8.86310972173611
2.6875,9.070305893222331
2.69,9.233083027594331
2.6925,8.79980320752048
2.695,8.867135330976494
2.6975,8.972211589515917
2.7,8.997989183113422
2.7025,8.774384227392797
2.705,8.859688326809913
2.7075,8.91624598314756
2.71,8.595874792543272
2.7125,8.738116833916619
2.715,8.997005840381506
2.7175,8.792735066090922
2.72,8.683661722341036
2.7225,8.727436991583367
2.725,8.805689621574142
2.7275,8.971708039382763
2.73,9.014748824277365
2.7325,8.878071188668827
2.735,8.931634985557722
2.7375,9.129154216819504
2.74,8.813831849142085
2.7425,8.933196211755046
2.745,8.908814513003177
2.7475,8.719001460216818
2.75,8.844991200066707
2.7525,8.707395676480393
2.755,8.990600213535627
2.7575,8.685581435677697
2.76,8.94469049007325
2.7625,9.012442523197665
2.765,8.774800097440819
2.7675,8.743425401938618
2.77,8.626043312945797
2.7725,9.016796633380224
2.775,8.887528286840123
2.7775,8.87388865511368
2.78,9.202772944638191
2.7825,8.907728231117652
2.785,9.134578961044452
